CAMS v1.3,Date,Time (UT),Max Mv (mag),F-skew,Sol long,q,1/a,a,e,i,w,Node
57916,4/22/2012,12:26:17.59,0.7,0.43,32.61205,0.92536,-0.108,999.000,1.09990,81.94,212.00,32.606
57918,4/22/2012,12:31:34.14,1.8,0.37,32.61563,0.91781,0.140,7.170,0.87200,81.62,215.61,32.610
57925,4/23/2012,4:49:37.87,0.0,0.76,33.27775,0.95212,0.034,29.799,0.96800,78.18,206.88,33.269
57932,4/23/2012,5:59:06.73,0.7,0.57,33.32478,0.90937,0.045,22.208,0.95910,81.72,216.43,33.317
57943,4/23/2012,6:40:56.64,2.0,0.48,33.35309,0.94370,-0.014,999.000,1.01330,80.87,208.64,33.345
57944,4/23/2012,6:44:09.70,1.6,0.71,33.35527,0.92814,0.067,14.992,0.93810,79.83,212.77,33.348
57949,4/23/2012,7:05:14.01,3.0,0.59,33.36953,0.92569,-0.069,999.000,1.06370,78.32,212.24,33.362
57956,4/23/2012,7:34:01.57,-0.4,0.91,33.38902,0.92871,-0.017,999.000,1.01560,80.95,211.98,33.382
57958,4/23/2012,7:41:07.60,0.7,0.60,33.39382,0.91058,0.097,10.279,0.91140,80.00,216.70,33.387
57968,4/23/2012,8:31:51.25,-5.0,0.89,33.42815,0.89407,0.047,21.410,0.95820,82.23,219.35,33.421
57969,4/23/2012,8:33:12.41,2.5,0.46,33.42907,0.92945,0.029,34.678,0.97320,80.93,212.18,33.422
57972,4/23/2012,8:34:06.69,1.2,0.53,33.42968,0.91378,0.044,22.702,0.95970,78.38,215.56,33.423
57975,4/23/2012,8:44:16.99,-0.7,0.79,33.43657,0.92603,-0.008,999.000,1.00700,82.61,212.62,33.430
57996,4/23/2012,10:05:22.16,1.7,0.47,33.49145,0.92389,-0.003,999.000,1.00310,82.04,213.10,33.485
57997,4/23/2012,10:09:41.79,2.4,0.55,33.49437,0.92534,0.137,7.297,0.87320,79.14,214.03,33.488
58002,4/23/2012,10:26:54.84,2.2,0.44,33.50603,0.95893,0.179,5.588,0.82840,84.57,206.17,33.500
58007,4/23/2012,10:49:29.55,0.9,0.46,33.52131,0.92452,0.028,35.522,0.97400,81.19,213.23,33.516
58011,4/23/2012,11:05:58.34,2.6,0.37,33.53246,0.93743,0.086,11.662,0.91960,77.00,210.86,33.527
58015,4/23/2012,11:19:34.96,1.5,0.42,33.54167,0.92600,0.098,10.220,0.90940,80.05,213.52,33.536
58035,4/23/2012,12:30:02.38,3.7,0.28,33.58935,0.92870,0.244,4.096,0.77330,77.37,214.46,33.584
58040,4/24/2012,6:09:18.46,-1.4,0.53,34.30606,0.91922,0.172,5.802,0.84160,70.31,215.76,34.299
58213,4/28/2012,8:56:18.72,-2.3,0.68,38.31116,0.96860,0.016,62.269,0.98440,76.16,202.59,38.306
58655,5/1/2012,11:29:12.90,1.3,0.34,41.32803,0.95696,0.110,9.116,0.89500,72.39,206.70,41.324
58848,5/2/2012,12:24:37.27,-0.4,0.55,42.33559,0.96547,0.064,15.493,0.93770,79.72,204.09,42.331
