CAMS v1.3	Date	Time (UT)	Max Mv (mag)	F-skew	Sol long	q	1/a	a	e	i	w	Node
11254	7/8/2011	5:28:35.11	2.5	0.80	105.58947	0.50270	0.342	2.923	0.82802	7.88	276.64	105.611
11296	7/8/2011	7:43:20.61	3.8	0.67	105.67870	0.50320	0.457	2.188	0.77002	8.92	279.24	105.699
11364	7/8/2011	10:24:51.77	1.9	0.55	105.78564	0.49340	0.363	2.758	0.82110	7.38	278.11	105.810
11484	7/9/2011	9:59:40.02	3.6	0.86	106.72241	0.46280	0.331	3.024	0.84696	7.50	280.81	106.746
11670	7/11/2011	6:01:01.91	2.8	0.62	108.47139	0.47230	0.392	2.553	0.81500	8.71	281.06	108.490
11676	7/11/2011	6:32:05.10	2.8	0.56	108.49196	0.53040	0.372	2.689	0.80275	7.32	274.22	108.515
11679	7/11/2011	6:41:35.00	1.8	0.40	108.49825	0.48460	0.463	2.160	0.77565	8.29	281.40	108.518
11718	7/11/2011	8:27:20.35	1.3	0.68	108.56828	0.46520	0.412	2.425	0.80816	7.43	282.31	108.592
11740	7/11/2011	9:23:42.71	3.8	0.43	108.60561	0.49250	0.443	2.258	0.78189	8.11	280.06	108.626
11818	7/12/2011	6:20:36.33	3.9	0.41	109.43793	0.51040	0.457	2.189	0.76683	6.02	278.43	109.467
11836	7/12/2011	7:48:13.84	1.6	0.68	109.49595	0.48140	0.437	2.290	0.78978	9.34	281.11	109.513
11966	7/14/2011	7:31:21.23	3.9	0.69	111.39212	0.51950	0.420	2.384	0.78209	6.61	276.53	111.417
12098	7/15/2011	10:38:55.13	2.9	0.00	112.47014	0.52010	0.419	2.388	0.78220	3.60	276.42	112.514
12148	7/16/2011	7:53:07.40	3.6	0.69	113.31419	0.52690	0.442	2.260	0.76686	6.45	276.27	113.338
12258	7/18/2011	4:43:34.87	0.1	0.71	115.09665	0.50790	0.356	2.807	0.81906	7.94	276.35	115.112
12276	7/18/2011	7:11:00.79	3.0	0.55	115.19434	0.53720	0.435	2.301	0.76654	7.03	274.94	115.214
12280	7/18/2011	7:43:46.04	3.4	0.64	115.21604	0.52240	0.453	2.207	0.76330	7.19	277.02	115.235
12325	7/19/2011	5:45:02.41	1.9	0.56	116.09155	0.54210	0.388	2.578	0.78972	6.99	273.27	116.110
12332	7/19/2011	6:37:05.54	2.3	0.68	116.12604	0.53230	0.454	2.201	0.75816	7.29	275.96	116.144
12426	7/20/2011	7:17:00.80	3.1	0.55	117.10681	0.57640	0.422	2.370	0.75679	6.96	270.24	117.126
12440	7/20/2011	7:55:49.17	2.0	0.76	117.13253	0.56030	0.349	2.864	0.80436	7.26	270.34	117.150
12447	7/20/2011	8:09:42.83	4.2	0.77	117.14174	0.53620	0.417	2.396	0.77621	7.82	274.62	117.157
12460	7/20/2011	8:36:51.26	0.0	0.53	117.15972	0.55240	0.403	2.482	0.77744	7.38	272.47	117.177
